id,description,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,year,month,day,duration,bot
8.16E+17,"""Rare and strong PokŽmon in Houston, TX. See more PokŽmon at https://t.co/dnWuDbFRkt""",1291,0,10,"""Mon Jan 02 02:25:26 +0000 2017""",0,FALSE,78554,TRUE,FALSE,FALSE,0,0,0,,1
4843621225,"From late 2014 Socium Marketplace will make shopping for fundamental business services more simple, more cost effective and more about you.",1,349,0,02-01-16 7:37,38,FALSE,31,TRUE,FALSE,FALSE,,,,,1
4303727112,"Inspired by the smart, funny folks at @replyall and @gimletmedia _Ñ¢ Tweets Monday, Wednesday and Friday _Ñ¢ A bot by @ashur",1086,0,14,Fri Nov 20 18:53:22 +0000 2015,0,FALSE,713,TRUE,FALSE,FALSE,,,,,1
3063139353,,33,0,8,2/25/2015 20:11,0,FALSE,676,TRUE,TRUE,FALSE,,,,,1
2955142070,Inspiring cooks everywhere since 1956.,11,745,0,01-01-15 17:44,146,FALSE,185,FALSE,FALSE,FALSE,,,,,1
8.41E+17,"Just a guy trying to do good by telling everyone else to get better,",1,186,0,13-03-17 22:53,0,FALSE,11,TRUE,FALSE,TRUE,,,,,1
2482834658,bot by @rubicon,193,0,19,Wed May 07 22:29:25 +0000 2014,0,FALSE,6068,FALSE,FALSE,FALSE,,,,,1
3333573622,[Bot rolled up by @BeachEpisode] Cataloguing every item from the Katamari series one at a time. ''Human beings are such hoarders'' - Keita Takahashi,8227,2,89,Thu Jun 18 22:07:31 +0000 2015,26,FALSE,2597,TRUE,FALSE,FALSE,,,,,1
2996105102,Twitterbot for #Autophagy papers. Curated by @SoniaHall,275,0,17,1/25/2015 17:34,23,FALSE,9922,FALSE,FALSE,FALSE,,,,,1
3271095818,,51,3,9,07-07-15 15:23,0,FALSE,2515,TRUE,FALSE,FALSE,,,,,1
2717905134,"cheese cheese cheese // updates every 4 hours // by @thricedotted, with inspiration from cheese and @mattlaschneider",51,1,12,Fri Aug 08 20:23:08 +0000 2014,0,FALSE,111,FALSE,FALSE,FALSE,,,,,1
2826073429,"Literature bot searching arXiv, biorXiv, PeerJ & PubMed for supercoiling papers. Maintained by @red_gravel.",2,1,4,9/22/2014 9:46,0,FALSE,230,TRUE,TRUE,FALSE,,,,,1
8.10E+17,,0,29,0,Sun Mar 12 01:07:25 +0000 2017,0,FALSE,0,TRUE,TRUE,,,,,,1
1027583707,,1,206,0,Sat Dec 22 02:18:49 +0000 2012,0,FALSE,0,TRUE,TRUE,,,,,,1
394991274,,0,38,0,Sun Mar 12 01:06:00 +0000 2017,0,FALSE,0,TRUE,TRUE,,,,,,1
3032363298,,109,0,16,Fri Feb 20 08:23:00 +0000 2015,0,FALSE,16067,TRUE,FALSE,FALSE,,,,,1
2568851552,"Why wait until 2020 for the Z's? Fucking every word in the English language backwards, from Z to A.",250,0,25,Sun Jun 15 11:20:31 +0000 2014,0,FALSE,31721,TRUE,FALSE,FALSE,,,,,1
2954704090,"Musician, vegan, animal rights activist.",15,1941,1,01-01-15 11:47,319,FALSE,406,FALSE,FALSE,FALSE,,,,,1
8.39E+17,_______ XXX,190,1899,0,03-07-17 22:08,27,FALSE,0,TRUE,TRUE,FALSE,,,,,1
2835723644,"straight-up rip-off of @doesathing_nice, except it's a bot // reports to @thricedotted",181,0,24,Tue Sep 30 04:56:09 +0000 2014,0,FALSE,21506,TRUE,TRUE,FALSE,,,,,1
1918202534,Follow me to chat. // Reflecting your personality back at you since 2013. // By @zhaytee,10175,11465,199,Sun Sep 29 21:35:03 +0000 2013,328,FALSE,65022,TRUE,FALSE,FALSE,,,,,1
2475875424,The Truest Wisdom (aka trying to make even less sense) from leading Republican presidential candidates for 2016.,23,4,8,Sat May 03 19:04:37 +0000 2014,4,FALSE,6230,FALSE,FALSE,FALSE,,,,,1
1909219404,colors.  all of 'em. | developed by @vogon; feel free to send him feedback/feature requests,106126,0,999,Thu Sep 26 21:22:10 +0000 2013,2,FALSE,30156,TRUE,FALSE,FALSE,,,,,1
4040207472,Unofficial; imagery courtesy: Japan Meteorological Agency (https://t.co/lzPXaTnMCi) and CIRA (https://t.co/YksnDoJEl8). Bot by @__jcbl__,2302,3,161,Tue Oct 27 23:06:22 +0000 2015,4,FALSE,7640,FALSE,FALSE,FALSE,,,,,1
3369547257,A silly bot by @fourtonfish @botwikidotorg. Image credit: https://t.co/X3tmC9y6oI,443,2,17,07-10-15 18:30,6,FALSE,9584,FALSE,FALSE,FALSE,,,,,1
2555847008,exposing the BLATANT HYPOCRISY of @everycanontroll // because @thricedotted was just THAT ANGRY about it,27,1,10,Mon Jun 09 01:33:19 +0000 2014,0,FALSE,145,TRUE,FALSE,FALSE,,,,,1
2520449720,"New words, from time to time. By @derekarnold",191,2,19,Sat May 24 13:13:08 +0000 2014,0,FALSE,5684,FALSE,FALSE,FALSE,,,,,1
8.29E+17,secr,1,35,1,Mon Feb 06 14:07:17 +0000 2017,54,FALSE,82,TRUE,FALSE,FALSE,,,,,1
2886558632,"Twitterbot of #Parasitology papers in PubMed, bioRxiv, and PeerJ PrePrints. Image from http://t.co/zYv7ygHs2U. Run by @FilipHusnik",651,0,36,11-01-14 17:27,0,FALSE,19867,FALSE,FALSE,FALSE,,,,,1
2787206222,tweeting every legendary MTG card (as of 10/2015) task complete in ~1 year,37,45,7,Wed Sep 03 03:39:41 +0000 2014,0,FALSE,191,FALSE,FALSE,FALSE,,,,,1
2364079946,Papers on directed and self assembly,331,56,36,2/27/2014 12:09,23,FALSE,29989,TRUE,FALSE,FALSE,,,,,1
3369559252,Tweet me a picture and I'll #deepdream it for you! Tweet '-me' and I'll dream your avatar! List of commands here: http://t.co/BRfLYAkWBA,1327,2,92,Fri Jul 10 17:20:58 +0000 2015,0,FALSE,24199,TRUE,FALSE,FALSE,,,,,1
1184955668,,0,52,0,Sat Jan 16 05:57:59 +0000 2016,0,FALSE,0,TRUE,TRUE,,,,,,1
4855573727,express your opinion on hopelessly mundane things with the highest-quality polls this side of Twitter. A project by @_Ninji.,54,0,5,1/28/2016 0:53,2,FALSE,1585,TRUE,FALSE,FALSE,,,,,1
2593449065,Destroy every word in the english language. Task complete when the world ends. By @dangeredwolf.,4247,2,72,Sun Jun 08 23:52:57 +0000 2014,587,FALSE,109325,FALSE,FALSE,FALSE,,,,,1
7.61E+17,"""Sports""",0,54,0,"""Thu Aug 04 11:42:20 +0000 2016""",7,FALSE,18,TRUE,TRUE,FALSE,,,,,1
1892842986,"A mashup of http://t.co/Tdj0YYLDOM and http://t.co/VSKfYVAJ21, another weird Internet thing by @air_hadoken.  Have a snowclone to add? Tweet it @air_hadoken!",163,2,74,Sun Sep 22 07:42:14 +0000 2013,64,FALSE,552492,TRUE,FALSE,FALSE,,,,,1
2540286551,Tweets randomly-generated 16x16 images using the NES color palette. Images are resampled for your viewing pleasure.,32,1,12,Sun May 11 03:58:12 +0000 2014,0,FALSE,6181,TRUE,FALSE,FALSE,,,,,1
2751246980,"I am a bot that tweets one random object from the Brooklyn Museum collection, four times a day. Bot by @backspace (not affiliated with @brooklynmuseum)",903,1,50,8/21/2014 4:08,0,FALSE,3654,FALSE,FALSE,FALSE,,,,,1
